from,to,w
46,18949,0.519417701
46,26019,0.309608493
46,18197,0.945881226
47,26283,0.137488101
47,12423,0.620497973
47,10114,0.393865795
47,27488,0.592955393
47,15049,0.332302388
47,24934,0.851618654
47,18846,0.444500375
47,2094,0.238960627
47,20953,0.102835824
48,10490,0.316271868
48,9981,0.790723509
48,9343,0.817736203
48,5448,0.580532047
48,7832,0.073093165
48,2671,0.219537838
48,21730,0.122700803
48,882,0.592422742
48,22001,0.262138164
49,17836,0.020564936
49,8898,0.874660728
49,14731,0.746357067
49,25425,0.479371647
49,15312,0.80302716
49,11952,0.138255306
49,26244,0.768756065
49,7042,0.166242869
49,14636,0.576477809
49,20940,0.74008971
49,2024,0.129156269
49,9919,0.937763221
49,18015,0.32722486
50,2003,0.411696306
51,4893,0.131345286
51,18772,0.258560879
51,7162,0.520361009
51,25472,0.650757836
51,424,0.357140662
51,24461,0.557936458
51,2093,0.261299874
51,7423,0.037345067
51,5705,0.567600752
51,7956,0.168462304
52,8068,0.91717784
52,22140,0.405863644
52,2929,0.054288236
52,9020,0.839303401
52,3871,0.597934426
52,9263,0.660793764
53,19033,0.446234227
53,23641,0.350905226
54,14976,0.843834848
54,2958,0.496109242
54,26364,0.239412314
54,23183,0.148635594
54,18082,0.383555905
54,20427,0.86318116
54,11599,0.433508805
55,17061,0.881569753
56,2386,0.428451282
56,25588,0.035518025
56,14287,0.429610524
56,13839,0.069584884
56,18061,0.797658948
56,25008,0.001983445
56,16856,0.635951477
56,16351,0.897775074
56,5747,0.009038423
56,27423,0.722726838
56,24242,0.746638334
57,25505,0.532573889
57,14871,0.980136419
57,10230,0.632980307
57,12511,0.123766481
58,9669,0.203816253
58,4422,0.05999088
58,27372,0.963787208
58,10072,0.953880111
59,18580,0.811527187
60,23309,0.837948826
60,22430,0.182510594
60,11867,0.453549761
60,19157,0.191170133
60,2482,0.908570101
61,22474,0.609783837
61,13707,0.571969575
62,27686,0.257815077
62,9795,0.006325192
62,12869,0.229238127
62,867,0.007543555
62,1878,0.51891273
62,10457,0.475533561
63,8044,0.048160231
63,17896,0.144414228
63,9646,0.742843539
64,20562,0.800664342
64,12632,0.367624853
64,20024,0.826252342
64,7396,0.455537187
65,20480,0.639389818
65,11134,0.399986846
65,782,0.734291436
65,17214,0.265066101
65,2017,0.210377295
65,17048,0.561248254
65,10830,0.371109755
65,8312,0.426237091
65,15350,0.243613893
66,3585,0.470207101
66,23874,0.280008911
67,21126,0.768237217
67,9569,0.65018615
67,22283,0.630492366
67,17075,0.020234495
67,693,0.507828805
67,22149,0.734808803
67,14901,0.956370342
67,24779,0.669611381
67,3872,0.956330196
67,23922,0.603171938
67,13405,0.434723716
67,13240,0.845695236
67,26497,0.720066519
67,14431,0.225233529
67,17543,0.014720537
68,1284,0.714435781
68,9903,0.832610269
68,17027,0.863260502
68,6500,0.154663287
68,12060,0.162655485
68,16309,0.17841849
70,4161,0.034090945
70,21728,0.844643816
70,12253,0.611852171
70,496,0.436677043
70,23659,0.465231384
70,4021,0.643420648
70,20758,0.210955247
70,21473,0.375721832
70,867,0.23065932
70,6752,0.885107181
70,2710,0.288610848
70,27998,0.042667072
71,22287,0.849248087
72,11948,0.000681967
72,28211,0.411685033
72,2517,0.97419663
73,5832,0.507022914
74,20587,0.134151845
74,4971,0.856870165
75,23722,0.694636609
75,27911,0.476049882
75,27740,0.221418408
75,22997,0.369942339
75,16982,0.503057165
76,17936,0.616884139
77,21497,0.528588849
77,102,0.954300809
77,3068,0.789025485
77,16126,0.598909945
78,15943,0.584252951
78,13241,0.830692303
78,26212,0.85390722
78,10444,0.86712846
78,18679,0.526215445
78,10564,0.89514124
78,11940,0.333882049
79,1771,0.63673517
79,1887,0.449781535
79,1519,0.134085278
79,1592,0.04978687
80,3955,0.994027457
81,87,0.172884172
81,24850,0.195334253
81,6182,0.378414695
81,28150,0.05132479
82,14519,0.745460101
83,13664,0.993747192
83,4619,0.320825174
84,1469,0.690093092
84,4802,0.578633169
84,19701,0.567904958
84,14092,0.121398244
84,13484,0.545558817
84,9736,0.762560449
84,24954,0.661111066
84,25265,0.037892416
84,1058,0.951321103
84,237,0.917080376
85,16709,0.835474639
86,8810,0.942373017
86,3845,0.523542039
86,20377,0.716402588
86,15354,0.899354202
86,22271,0.984998685
86,26908,0.842667864
86,11134,0.373424707
86,7289,0.216219594
86,16071,0.961557724
86,28031,0.58464378
86,7414,0.048736154
86,3570,0.253289969
86,26851,0.718734369
86,9065,0.506360285
86,18876,0.979852713
86,1613,0.099050675
86,8282,0.819181985
86,22005,0.732226255
86,6560,0.443011913
86,20480,0.053245183
86,11897,0.26890236
86,9103,0.542594443
86,937,0.168079946
86,6821,0.608694473
86,4383,0.337069231
86,4849,0.83012921
86,5666,0.997243327
86,16618,0.216971491
86,13681,0.670077125
86,10012,0.127341228
86,20608,0.423668544
86,2880,0.37484917
86,18653,0.682663192
86,19931,0.568969117
86,22461,0.092825398
86,19988,0.63829965
86,21733,0.119373075
86,24491,0.217699952
86,8756,0.156083501
87,17670,0.917482189
87,24850,0.419667074
87,20702,0.147437851
87,15786,0.807450372
88,21245,0.073761724
88,21359,0.01789212
88,18051,0.522345976
88,1842,0.046777522
88,13764,0.117863772
88,18324,0.000806942
88,20179,0.789440204
88,25848,0.480524337
88,14609,0.915185939
88,26113,0.886951701
89,15008,0.233978519
89,28238,0.419655629
89,22581,0.908826921
90,12787,0.386211181
90,11922,0.498526695
90,10348,0.962150567
90,24127,0.146297979
90,25559,0.984426117
90,21348,0.271486195
90,10275,0.080957149
91,15928,0.842500436
91,24164,0.271660809
91,2833,0.986402815
92,8746,0.118820301
92,2170,0.945185794
92,9569,0.70676019
92,4640,0.869190324
92,6587,0.244921428
92,12397,0.510642273
92,10755,0.233761512
92,5359,0.305098393
92,22254,0.759653697
92,17259,0.920049962
93,8769,0.520871562
93,16756,0.918337547
94,25178,0.125395307
95,9732,0.261604031
96,25433,0.817492598
96,705,0.100587306
97,22908,0.3387702
97,15206,0.103527752
97,9038,0.810292297
97,10131,0.049044558
97,5056,0.883249817
97,8551,0.673679147
97,13351,0.331598813
97,8407,0.484877526
97,16385,0.313361
97,8210,0.64882372
98,17226,0.784279913
98,6962,0.537053362
98,2275,0.733779571
98,16328,0.739059272
98,9010,0.822591828
99,11809,0.87203116
99,17163,0.545673035
99,1090,0.08130226
99,19409,0.308937147
99,425,0.75447609
99,9553,0.767700065
99,17963,0.156428733
99,10304,0.87737154
99,1777,0.621076765
100,25306,0.41680538
101,1641,0.905153339
101,23254,0.964210937
101,14010,0.501324295
101,18429,0.45649413
101,2635,0.634318202
101,1408,0.415269825
101,17995,0.710879437
101,1689,0.048503292
102,13609,0.046324287
102,836,0.259965356
102,27247,0.739031846
102,14053,0.143461063
102,17070,0.362412384
102,16665,0.37857321
102,26145,0.521769666
102,13115,0.382700729
102,8368,0.07284715
103,16228,0.192651661
103,16621,0.725260789
104,16687,0.125302864
104,12561,0.993219309
104,22399,0.418042838
105,1056,0.314359279
106,11591,0.54641645
106,27688,0.227687417
106,11080,0.570829544
106,11795,0.957053551
106,12991,0.638651598
106,27703,0.198725161
106,27251,0.748555108
106,26409,0.707614661
106,24754,0.675637329
106,9404,0.370081077
106,25155,0.756509945
106,911,0.66090085
106,17355,0.750737353
106,3411,0.792283214
106,1374,0.115671476
106,3349,0.417558846
106,26386,0.487169566
106,17383,0.944876023
106,3410,0.473043202
106,14019,0.861677059
107,5004,0.264404057
107,16683,0.301749832
107,356,0.732480042
107,14104,0.33254519
107,13650,0.539504363
107,14507,0.394473575
107,3163,0.566629007
107,26804,0.351036682
107,22959,0.816622528
107,25165,0.318016019
107,8707,0.458445884
107,8525,0.615988618
108,20666,0.294088544
108,5978,0.184890133
108,14777,0.283607304
108,3123,0.211828315
108,11345,0.116063372
108,23050,0.987636902
108,24649,0.959370661
108,27254,0.241346964
108,1534,0.148698353
108,1016,0.98470303
108,27743,0.232269042
108,24265,0.106772334
108,20625,0.483689113
108,804,0.016896212
108,21460,0.344956792
108,5598,0.62262667
108,19670,0.389250175
109,4420,0.468958894
109,8381,0.355175558
109,22123,0.505756593
109,25773,0.979710952
110,8057,0.337097476
110,27367,0.078638095
111,19420,0.888274128
111,6331,0.519690452
111,11604,0.201385783
111,5047,0.319786234
111,20365,0.756344154
111,7091,0.004795493
111,21154,0.462766143
111,9624,0.40048837
111,10952,0.120265035
111,19653,0.237538375
111,26265,0.407207899
112,7289,0.194156118
112,13972,0.676567135
113,24069,0.960870726
113,17422,0.227542795
113,25039,0.753520885
113,1529,0.328376163
113,4806,0.953633321
113,16480,0.160788137
113,9488,0.304693591
113,4992,0.3042184
113,11378,0.365158355
113,7956,0.597371218
113,26200,0.11338191
113,11365,0.976932622
113,1263,0.377099036
113,17511,0.607739784
113,17952,0.879912071
113,24616,0.068972717
114,7308,0.19390414
115,11282,0.007360932
115,7513,0.062110784
115,8472,0.427683147
115,24659,0.849600932
115,19372,0.373045368
115,18471,0.495832402
115,11599,0.417667001
115,10956,0.930997759
115,26393,0.274844252
115,2677,0.130547367
115,2536,0.30890882
115,21203,0.415698173
115,2096,0.538022473
115,20558,0.944546816
115,17057,0.225103608
115,21315,0.936357289
115,23749,0.428104859
115,245,0.159823597
115,14534,0.297252861
115,11993,0.265859219
115,20162,0.888242933
115,16255,0.213159054
115,8405,0.087682763
115,20335,0.04445853
115,10559,0.987324669
115,14975,0.654611251
116,2212,0.830840785
116,16582,0.18672805
116,8244,0.205449707
116,24500,0.302157243
116,9354,0.630974147
117,22987,0.987324718
117,4222,0.726711692
118,9026,0.627567635
118,26618,0.501316216
119,16152,0.115543741
120,25501,0.530327498
120,24864,0.112452646
121,19591,0.082613359
122,15761,0.556563502
122,8359,0.091408732
123,9701,0.049631595
124,3852,0.680873011
125,23249,0.881649001
125,17869,0.73515686
125,19805,0.817285979
125,18454,0.410416552
125,7809,0.413401383
126,18603,0.386644349
126,7584,0.886648477
126,13483,0.194594476
126,8167,0.210370915
126,14697,0.18878025
126,26824,0.234816594
126,22001,0.512537963
127,1782,0.455605539
127,3147,0.072967961
127,16955,0.013193351
127,21029,0.055626932
127,21746,0.002479486
127,18044,0.983473518
127,11989,0.749354383
127,7413,0.826802501
128,5398,0.819695238
128,9395,0.448620843
128,24419,0.459486909
128,3634,0.541903362
128,9992,0.647602043
128,3779,0.768875031
128,25165,0.790121945
128,18603,0.707593991
128,1142,0.989677887
128,5835,0.31723849
129,9871,0.122592511
129,9557,0.491291208
129,21424,0.376890766
129,8947,0.410711969
129,23389,0.25716047
129,14206,0.220012069
129,18605,0.508618812
129,20319,0.780440352
129,16434,0.438514017
129,5528,0.114450585
129,319,0.479072273
129,4666,0.678920553
129,20943,0.343773938
129,1292,0.631334987
129,4418,0.466651221
129,6894,0.520846748
129,18524,0.865326865
129,11631,0.256304921
129,1497,0.909960816
129,3261,0.654116995
130,23214,0.239689336
130,26417,0.253155816
130,16036,0.43562925
130,10042,0.765985311
130,4414,0.101487884
130,22729,0.637453987
130,1573,0.08806012
130,16640,0.272685531
130,24462,0.595313867
130,1614,0.22086949
130,24062,0.818769978
131,872,0.001844691
131,14399,0.158027443
131,27321,0.039227577
131,14378,0.88203877
131,16850,0.099347555
131,7488,0.999921341
131,10789,0.240991165
131,7816,0.156549427
132,21586,0.847025941
132,25597,0.556255798
132,17104,0.984307409
132,12681,0.963061594
132,9819,0.650224487
132,18995,0.283154208
132,6038,0.930629391
132,5045,0.626030413
133,9842,0.757425781
133,24069,0.730744383
134,24904,0.586673385
134,4722,0.449180744
134,9377,0.948749433
134,2710,0.686231515
134,19313,0.791547173
134,22991,0.14519884
135,10244,0.336473694
135,6876,0.89188319
135,6517,0.468637565
135,12651,0.809668614
135,10833,0.745911324
135,9399,0.430341108
135,8511,0.607881032
135,25108,0.464412145
135,14689,0.013821039
136,26611,0.152231423
136,15410,0.861947157
136,24061,0.297102509
136,4385,0.554368932
137,14883,0.166734461
137,11552,0.618439851
137,6745,0.938500697
137,25699,0.128100015
137,1813,0.708537105
137,25927,0.606410335
137,3622,0.381439475
137,23809,0.484759536
137,12323,0.043441867
137,16795,0.526351774
137,25059,0.954309114
137,25533,0.736594376
138,723,0.41882962
139,19378,0.306687637
139,13738,0.802953501
139,10476,0.130262198
139,1142,0.631105645
139,28098,0.630219939
139,24592,0.99176612
139,14479,0.514550363
139,18603,0.928667213
139,2326,0.32840865
139,7158,0.122999447
140,15741,0.122305148
140,20956,0.145480197
140,9716,0.488904467
140,20947,0.314126219
140,18280,0.133029592
140,26405,0.364193245
140,23162,0.862364801
140,3761,0.595943171
140,25287,0.218607426
140,9992,0.459694667
140,8855,0.550043532
140,2007,0.910721184
140,26846,0.48918225
141,7091,0.987825579
141,17651,0.216830439
142,3919,0.597048856
142,8471,0.116645424
143,209,0.984842509
143,16571,0.276399498
143,21306,0.814396114
143,15625,0.761469434
143,930,0.420321939
143,26123,0.772256952
144,2810,0.841911983
144,24516,0.192005872
145,15292,0.252044018
146,3762,0.452937781
147,18464,0.781370653
148,16194,0.591097453
148,19683,0.287404285
148,23257,0.102891609
148,20634,0.663485851
149,9260,0.658606756
149,24828,0.452168276
150,14136,0.240572175
150,6722,0.193581821
150,7155,0.495402135
150,16151,0.328870899
150,583,0.22539144
150,9962,0.021571788
150,5468,0.45128942
151,21769,0.986939735
151,6914,0.139949719
151,12148,0.292441168
151,19313,0.866375269
151,17695,0.121529004
152,23038,0.785322482
152,7929,0.015826791
152,24954,0.690291995
152,6268,0.427108605
152,12597,0.982609368
152,25059,0.381889414
152,9234,0.746866646
152,916,0.486660182
153,21836,0.07097256
154,14954,0.186167713
154,19579,0.63627627
154,21919,0.083954901
154,24274,0.134327396
154,20640,0.106057973
154,16999,0.452379934
154,558,0.696466291
154,23574,0.797025625
154,12711,0.15847389
155,24326,0.271662134
155,14753,0.280593086
155,5850,0.534315818
155,18101,0.641584418
155,11364,0.472522816
155,20757,0.254391594
155,16388,0.276510879
155,6001,0.228864672
155,20033,0.306665504
155,4343,0.659473686
155,8368,0.719481686
155,4845,0.845667739
155,19976,0.571151557
156,25433,0.437072525
157,8188,0.275986057
158,27382,0.608367948
158,11462,0.672630019
159,12264,0.863704633
160,12023,0.24831655
160,19610,0.852294575
160,11290,0.255805426
160,20008,0.08244534
160,13829,0.936624439
160,8319,0.790565373
160,11484,0.987387021
160,11814,0.931206723
160,4862,0.734220826
160,2327,0.932607262
160,1373,0.26828236
161,23455,0.403554432
161,4954,0.943437881
161,13131,0.338690775
161,9874,0.47588886
161,12196,0.019348009
161,14280,0.507713618
161,25273,0.54900836
161,21470,0.87792126
161,21138,0.384610703
161,10559,0.86900011
162,26340,0.076461629
163,17412,0.34857552
163,13603,0.844564095
164,24645,0.253471466
165,18280,0.322206699
165,14024,0.429446717
165,15986,0.109513118
165,5701,0.116193487
165,2895,0.091962144
166,3253,0.483854983
166,3958,0.228293313
166,1714,0.955402633
166,1908,0.574512205
166,15212,0.238422452
167,9431,0.832325703
168,17144,0.79449563
168,12966,0.308463402
168,26268,0.536177227
169,17561,0.677179266
169,4624,0.583012632
170,10767,0.612338205
171,18904,0.959137631
172,11634,0.586781273
173,14893,0.737435257
173,26273,0.164973174
173,3674,0.428177596
173,3046,0.256496975
173,6566,0.398568163
173,12490,0.086602736
173,9258,0.868662929
173,17052,0.453403433
173,15226,0.038728957
173,12100,0.337257484
173,20370,0.659972306
173,13992,0.2027954
174,11092,0.297486035
175,25306,0.697627673
175,7254,0.432603225
175,24444,0.223243677
175,16957,0.51503422
175,17974,0.167459604
175,23277,0.412538499
175,26839,0.8914996
175,1609,0.167414573
175,13565,0.077423558
175,13132,0.57307816
175,11210,0.080040007
175,26161,0.554809497
175,7950,0.972047037
175,10512,0.700747619
175,13895,0.741976562
175,22040,0.622037392
175,26290,0.854049128
175,7747,0.73331796
175,27630,0.38532207
175,23254,0.171445507
175,27821,0.599997131
175,27152,0.386600782
175,12257,0.658019227
175,17787,0.897203008
175,8873,0.688612992
175,13481,0.112984428
175,4860,0.290129509
175,8143,0.232616864
175,26515,0.572283236
175,18047,0.569739247
175,3903,0.080939025
176,27606,0.292861613
176,7982,0.305662009
176,5979,0.025061745
176,1998,0.768574868
177,27686,0.612859748
177,6349,0.376973469
178,352,0.519146805
178,25112,0.959593236
178,13831,0.564792388
179,21248,0.735994543
179,27579,0.7453389
179,12357,0.000713137
179,22120,0.793737118
179,13282,0.950858607
179,7290,0.557523704
179,23553,0.257678863
179,18099,0.585307951
179,8479,0.659854992
179,11076,0.319652621
179,1163,0.405616255
179,4539,0.594543461
180,14794,0.142957865
180,10337,0.339138478
180,5461,0.8968961
180,8931,0.447620703
180,23857,0.221238219
180,3300,0.89265868
180,21079,0.724890885
180,11727,0.440814096
180,18216,0.040418945
180,5711,0.766954457
180,12405,0.977216495
180,5989,0.042127323
181,723,0.119395025
181,27007,0.037107096
181,19316,0.982094905
181,26435,0.884036963
182,25152,0.835576576
183,4473,0.233450502
183,745,0.056779617
183,26267,0.642121851
183,23060,0.9243445
183,17438,0.242256814
183,6654,0.940814682
183,22392,0.930081487
183,3287,0.080939949
183,22895,0.737276198
183,27851,0.647519264
183,25385,0.985410304
183,12890,0.500127188
183,16923,0.546704373
183,5929,0.494498326
183,4603,0.934939694
183,23390,0.946104514
184,22404,0.455353268
184,13225,0.086655015
184,14813,0.422377268
185,27105,0.339964565
185,5846,0.182858547
185,23185,0.769297848
185,4475,0.600735536
185,27461,0.647406648
185,10994,0.579306546
185,6182,0.401570413
186,26901,0.472679479
186,758,0.216185894
186,749,0.541849718
186,9621,0.080826629
186,4721,0.950741395
187,25241,0.933880745
187,12004,0.769620477
187,25397,0.052897437
187,3759,0.983415171
187,4051,0.449183727
187,24219,0.711978939
187,2050,0.381159738
187,22105,0.786833007
187,16742,0.986068823
187,16639,0.283519264
187,14411,0.413407485
187,20116,0.975084876
187,20322,0.210708663
187,10208,0.398903351
187,3128,0.202910043
187,12424,0.481498477
187,16167,0.486692558
187,8242,0.321877254
187,24653,0.563938441
187,25086,0.146686292
188,26113,0.056608665
188,18367,0.856023413
188,17364,0.097218196
188,17739,0.243098922
188,5214,0.983525267
188,24275,0.107323829
188,15130,0.650677345
188,8101,0.903609709
188,10218,0.686303895
188,20131,0.240975578
188,24083,0.518897574
188,8669,0.508812466
189,6891,0.39305275
189,14243,0.19813371
190,2039,0.719358698
190,25638,0.512682379
190,25465,0.448876136
190,22630,0.961877347
191,11227,0.91526555
191,15754,0.536377077
191,24539,0.668027989
192,16374,0.323155981
192,13163,0.067948298
192,25638,0.21785034
192,5027,0.408373233
192,27275,0.444933753
193,6636,0.685429102
193,16957,0.163890227
193,10512,0.153994084
193,1604,0.955395334
193,495,0.480135555
193,1335,0.048333288
193,6177,0.111459428
193,24136,0.112850047
193,17743,0.209656754
193,8363,0.416620276
193,23932,0.868921513
193,17232,0.021555698
193,16908,0.217672934
193,4693,0.030805437
193,12257,0.284161916
193,10739,0.832130153
193,26143,0.123455074
193,6238,0.280492983
193,23083,0.420669763
193,27821,0.810662418
193,17847,0.492631294
193,21438,0.021371784
193,1609,0.596847415
194,10588,0.340509882
194,5150,0.603053565
194,19872,0.960907707
194,23749,0.040516439
194,10209,0.446494427
194,705,0.834763199
194,3970,0.583043434
194,7381,0.639439598
194,2676,0.843656371
194,23798,0.652182934
194,3115,0.595996011
194,15539,0.150366499
194,21875,0.202245207
194,4857,0.208378878
194,20020,0.275607948
195,23619,0.063778568
196,7915,0.052435258
196,16619,0.13816647
196,13442,0.768714559
196,12543,0.426545624
196,3678,0.829634379
196,3296,0.042739245
196,14055,0.23479406
196,9317,0.727205276
197,27886,0.27897497
197,7550,0.489591074
197,7796,0.703978185
197,27179,0.432894491
197,27164,0.585070019
197,14513,0.716749769
